"Timestamp","En: What is your dominant foot? (ie: the foot you use to kick a ball).     -     Pt: Qual é o seu pé dominante? (ex: o pé como qual você chuta uma bola).","En: What is your skateboarding stance? (ps: when you get on a skateboard, if your left foot  is in front, your stance is ""Regular"", if it is the right one in the front, your stance is ""Goofy"" ).     -     Pt: Qual a sua base no skate? (obs.: Quando você sobe no skate, se o seu pé esquerdo fica na frente, sua base é ""Regular"", se é o seu pé direito que fica na frente, sua base é ""Goofy"")","En: Gender  (If you don't identify as male or female, I apologize for not putting all genders as an option and feel free not to respond).     -     Pt: Gênero (Se você não se identifica com as opções abaixo, peço perdão por não ter colocado todos os gêneros como opção, sinta-se livre para não responder).","En: Are you or have you ever been a skateboarder? (feel free to consider whether or not you were a skateboarder).     -     Pt: Você se considera ou já se considerou um praticante do skate? (sinta-se livre para decidir se é/foi ou não)."
"2022/05/13 11:45:47 PM GMT-3","Left","Regular","Female","Yes"
"2022/05/13 11:46:13 PM GMT-3","Right","Goofy","Female","Yes"
"2022/05/13 11:52:13 PM GMT-3","Right","Regular","Male","Yes"
"2022/05/13 11:54:57 PM GMT-3","Right","Regular","Male","No"
"2022/05/14 12:00:47 AM GMT-3","Right","Goofy","Female","No"
"2022/05/14 12:08:53 AM GMT-3","Right","Regular","Male","Yes"
"2022/05/14 12:10:15 AM GMT-3","Right","Regular","Male","Yes"
"2022/05/14 12:10:26 AM GMT-3","Right","Regular","Male","Yes"
"2022/05/14 12:11:21 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 12:12:32 AM GMT-3","Left","Goofy","Female","No"
"2022/05/14 12:13:19 AM GMT-3","Right","Goofy","Male","Yes"
"2022/05/14 12:13:49 AM GMT-3","Left","Goofy","Male","Yes"
"2022/05/14 12:14:29 AM GMT-3","Right","Goofy","Male","Yes"
"2022/05/14 12:16:01 AM GMT-3","Left","Regular","Male","No"
"2022/05/14 12:17:15 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 12:19:16 AM GMT-3","Right","Goofy","Female","No"
"2022/05/14 12:20:01 AM GMT-3","Right","Goofy","Female","No"
"2022/05/14 12:21:05 AM GMT-3","Right","Goofy","Female","Yes"
"2022/05/14 12:22:47 AM GMT-3","Left","Goofy","Borboleta","Yes"
"2022/05/14 12:23:37 AM GMT-3","Right","Regular","Female","Yes"
"2022/05/14 12:31:58 AM GMT-3","Right","Goofy","Female","No"
"2022/05/14 12:34:22 AM GMT-3","Right","Goofy","Male","Yes"
"2022/05/14 12:35:15 AM GMT-3","Right","Goofy","Male","Yes"
"2022/05/14 12:39:11 AM GMT-3","Left","Goofy","Male","No"
"2022/05/14 12:40:10 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 12:44:20 AM GMT-3","Left","Regular","Male","No"
"2022/05/14 12:44:51 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 12:45:14 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 1:05:42 AM GMT-3","Left","Goofy","Male","No"
"2022/05/14 1:06:56 AM GMT-3","Right","Regular","Female","No"
"2022/05/14 1:08:31 AM GMT-3","Left","Regular","Male","No"
"2022/05/14 1:09:27 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 1:10:22 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 1:13:18 AM GMT-3","Right","Regular","Male","Yes"
"2022/05/14 1:14:23 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 1:29:48 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 2:19:21 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 2:20:43 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 2:21:54 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 2:22:34 AM GMT-3","Right","Regular","Female","No"
"2022/05/14 2:24:02 AM GMT-3","Right","Goofy","Male","No"
"2022/05/14 2:29:44 AM GMT-3","Right","Goofy","Female","No"
"2022/05/14 5:06:37 AM GMT-3","Right","Regular","Male","No"
"2022/05/14 5:06:38 AM GMT-3","Right","Goofy","Male","No"
"2022/05/15 1:17:40 PM GMT-3","Left","Goofy","Male","Yes"
"2022/05/15 9:36:20 PM GMT-3","Right","Goofy","Male","No"
"2022/05/17 10:13:49 AM GMT-3","Right","Regular","Male","No"
"2022/05/17 12:07:08 PM GMT-3","Right","Regular","Male","No"
"2022/05/21 12:59:13 AM GMT-3","Right","Goofy","Male","No"
"2022/05/21 4:45:14 AM GMT-3","Right","Goofy","Male","Yes"
"2022/05/27 9:38:56 PM GMT-3","Right","Regular","Female","No"
"2022/05/28 4:51:29 AM GMT-3","Right","Regular","Male","Yes"
"2022/05/28 2:45:08 PM GMT-3","Right","Goofy","Female","No"
"2022/06/01 10:47:26 PM GMT-3","Right","Goofy","Male","No"
"2022/06/01 11:12:25 PM GMT-3","Right","Regular","Male","No"
